sku,reason
1.10.ACC.2.1,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (13, ?, AccellNote, ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACC.2.2,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (14, ?, AccellNote, ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACC.999.1,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (15, ?, typ, ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACC.999.2,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (16, ?, typ, ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACC.999.3,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (17, ?, typ, ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACC.999.4,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (18, ?, typ, ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACC.999.5,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (19, ?, typ, ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACC.999.6,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (20, ?, typ, ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACC.999.7,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (21, ?, typ, ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACE.1.1,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (22, ?, , ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACE.1.2,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (23, ?, všeobecně, ?, ?, 2026-04-20 22:03:12, 2026-04-20 22:03:12))"
1.10.ACE.1.3,"SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'attribute_id' cannot be null (Connection: mysql, SQL: insert into `product_attribute_values` (`product_id`, `attribute_id`, `value_text`, `value_number`, `value_boolean`, `updated_at`, `created_at`) values (24, ?, všeobecně, ?, ?, 2026-04-20 22:03:13, 2026-04-20 22:03:13))"
